source,molecule_id,inchi_key,smiles,driven_bond,n_heavy,classes,substituents_equivalent,barrier_kcal_mol,odd_fraction,power_above_n3,rms_full,rms_even_only,rms_three_harmonics,rms_flat,phase_gain,minimum_shift_degrees,js_distance,power_n1,power_n2,power_n3,power_n4,power_n5,power_n6
torsionnet500,fragment_002,VPXVZDLANXXNOZ-UHFFFAOYSA-N,Fc1cccc(F)c1Oc1ccccc1,2-3,15,gauche_effect|biaryl,0,3.754686549422331,2.907222252059915e-05,0.062472779058747416,0.04363528193830727,0.044250543586539785,0.3436568974666205,1.3644964328554794,0.0006152616482325152,0.0,0.0017956070713183283,0.004427101539744362,0.9329232772102632,0.00017684219124494666,0.061273148589392305,0.0007327776192680872,0.00046685285008702364
torsionnet500,fragment_003,LBTPIFQNEKOAIM-UHFFFAOYSA-N,CS(=O)(=O)Nc1ccccc1,2-3,11,biaryl,0,1.6596245721448213,8.536832549132026e-05,0.9963720026405358,0.22177514260970474,0.22182564452747025,0.5573652831676238,0.5582187135551069,5.050191776551083e-05,0.0,0.001562672409805685,3.7065883389091754e-05,0.003374300576673789,0.00021663089940130478,0.9739655183359962,2.3457335126351802e-05,0.022383026969413498
torsionnet500,fragment_004,QMMOXUPEWRXHJS-UHFFFAOYSA-N,C/C=C\CC,2-3,5,conjugated,0,3.8253425599541515,1.3721999572760706e-09,0.029955900423254387,0.024119674710382753,0.024119731332492168,0.24537753293424225,1.4110706293461186,5.662210941434487e-08,0.0,1.4095979715669683e-05,0.6825531945602196,0.281727489887143,0.00576341512938306,0.010410214929108628,0.015629947563787983,0.003915737930357773
torsionnet500,fragment_005,ILVZERCGPTXWJR-UHFFFAOYSA-N,CCOC1=C(NC)CC1=O,2-3,10,gauche_effect|conjugated,0,3.4958552486496046,3.8581413549926203e-07,0.0015332784845985602,0.032693499604113024,0.03270509893394564,0.06390278493709763,1.4025863784202033,1.1599329832613636e-05,0.0,0.00024021963675101212,0.9800613715868953,0.002358285111130672,0.016047064817375327,0.0001559028553790805,0.0006329558295031982,0.0007444197997162813
torsionnet500,fragment_007,DSDSZHUBHNTFNX-UHFFFAOYSA-N,CN(CCO)C1CCCCC1,2-3,11,plain,0,6.063893575104885,0.010815412107091369,0.017152830074061327,0.07271558593800795,0.21753653051244506,0.26824019481638955,1.9727728049418742,0.14482094457443712,0.4993065187239836,0.10482613631664758,0.480831333904971,0.007473294501573327,0.49454254151939425,0.014999374350884508,0.001471784304979319,0.0006816714181975004
torsionnet500,fragment_008,ODYVZWDKDPSBKF-UHFFFAOYSA-N,c1ccc(COc2ccncn2)cc1,2-3,14,plain,0,8.26514203986153,9.292062676016351e-06,0.004514518299888774,0.031657792266254106,0.03256611850595108,0.17130294458127934,2.505808630244251,0.0009083262396969716,0.49930651872409726,0.005943973312406478,0.270185142763253,0.7247297535475601,0.0005705853892981281,0.0030019667035110814,0.0015017406259644837,1.0810970413208703e-05
torsionnet500,fragment_009,FTXJUKILOHPHHB-UHFFFAOYSA-N,c1ccc(Oc2cccnn2)cc1,2-3,13,biaryl,0,1.8994437615037896,1.2906918625368062e-06,0.08415025113051632,0.05129624652313818,0.05130213380346403,0.20496932705348322,0.6860153610187408,5.887280325848898e-06,0.0,0.0004055105088873872,0.004971059221706453,0.9108629861572707,1.570349050677856e-05,0.0817175849677321,0.002188096651639854,0.00024456951114435854
torsionnet500,fragment_010,SOXGJZXHZUYLRW-UHFFFAOYSA-N,CC(=O)N(C)OCc1ccccc1,2-3,13,plain,0,4.420918374904431,0.00020572856846275258,0.002372491459889301,0.05236817220431432,0.055190883443523006,0.07901695009047197,1.21594117440397,0.002822711239208686,130.31900138696255,0.006718264306693494,0.01376874242038151,0.16522578476305413,0.8186329813566751,0.00047360203392902305,0.0018444974114328269,5.439201452745104e-05
torsionnet500,fragment_012,NFCKPEXQDUBMOO-UHFFFAOYSA-N,CNC(=O)OCCN(C)C(=O)NC,2-3,13,anomeric|amide|conjugated,0,8.266665941628162,0.00020890061536890607,0.016861571974044393,0.28858398230201976,0.29081248934586107,0.433012731997327,2.502830045898544,0.00222850704384131,165.76976421636618,0.005827336805312531,0.24867392607276012,0.7133021186877587,0.021162383265436662,5.2368750941083836e-05,0.00023998021220900605,0.016569223010894304
torsionnet500,fragment_013,KWRBXILMRLLABD-UHFFFAOYSA-N,C=CCOc1ccccc1OC,2-3,12,conjugated,0,3.4522912818356417,0.00970930654778039,0.015543745650099947,0.04989008659050137,0.10410950063859795,0.12592165733907584,0.9286897698551106,0.054219414048096576,0.9986130374479956,0.0422822147376653,0.01263414611851021,0.10728917395151712,0.8645329342798727,0.010925215761132912,0.0045849152417612405,3.361464720579587e-05
